Series_Title,Released_Year,Genre,IMDB_Rating,Overview,No_of_Votes,Gross,Movie_Success,Average IMBD Rating by Gener,Unnamed: 9,sentiment_score,sentiment
Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",7.7,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",463188,228778661.0,Hit,,,-0.8779,Negative
Beasts of No Nation,2015,"Drama, War",7.7,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",73964,83861.0,Average,,,-0.7506,Negative
The Social Network,2010,"Biography, Drama",7.7,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",624982,96962694.0,Average,,,0.2732,Positive
X: First Class,2011,"Action, Adventure, Sci-Fi",7.7,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",645512,146408305.0,Hit,,,0.1901,Positive
The Hangover,2009,Comedy,7.7,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",717559,277322503.0,Hit,,,0.3612,Positive
Skyfall,2012,"Action, Adventure, Thriller",7.7,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",630614,304360277.0,Hit,,,-0.8834,Negative
Silver Linings Playbook,2012,"Comedy, Drama, Romance",7.7,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",661871,132092958.0,Hit,,,-0.204,Negative
Argo,2012,"Biography, Drama, Thriller",7.7,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",572581,136025503.0,Hit,,,-0.5994,Negative
(500) Days of Summer,2009,"Comedy, Drama, Romance",7.7,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",472242,32391374.0,Average,,,-0.128,Negative
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",7.7,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",479120,295983305.0,Hit,,,-0.701,Negative
Gake no ue no Ponyo,2008,"Animation, Adventure, Comedy",7.7,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him.",125317,15090400.0,Average,,,0.5574,Positive
Frost/Nixon,2008,"Biography, Drama, History",7.7,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,103330,18593156.0,Average,,,0.0,Neutral
Papurika,2006,"Animation, Drama, Fantasy",7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all Hell breaks loose. Only a young female therapist, Paprika, can stop it.",71379,881302.0,Average,,,-0.8625,Negative
Changeling,2008,"Biography, Crime, Drama",7.7,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,239203,35739802.0,Average,,,-0.296,Negative
Flipped,2010,"Comedy, Drama, Romance",7.7,Two eighth-graders start to have feelings for each other despite being total opposites.,81446,1752214.0,Average,,,0.0,Neutral
This Is England,2006,"Crime, Drama",7.7,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",115576,327919.0,Average,,,0.8271,Positive
Ex Machina,2014,"Drama, Sci-Fi, Thriller",7.7,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,474141,25442958.0,Average,,,0.659,Positive
Efter brylluppet,2006,Drama,7.7,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",32001,412544.0,Average,,,0.0,Neutral
The Last King of Scotland,2006,"Biography, Drama, History",7.7,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,175355,17605861.0,Average,,,-0.6249,Negative
Zodiac,2007,"Crime, Drama, Mystery",7.7,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",466080,33080084.0,Average,,,-0.9382,Negative
Lucky Number Slevin,2006,"Action, Crime, Drama",7.7,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",299524,22494487.0,Average,,,-0.8801,Negative
Joyeux Noël,2005,"Drama, History, Music",7.7,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",28003,1054361.0,Average,,,-0.128,Negative
Control,2007,"Biography, Drama, Music",7.7,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",61609,871577.0,Average,,,0.0516,Positive
Tangled,2010,"Animation, Adventure, Comedy",7.7,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",405922,200821936.0,Hit,,,-0.6808,Negative
Zwartboek,2006,"Drama, Thriller, War",7.7,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",72643,4398392.0,Average,,,-0.5994,Negative
Brokeback Mountain,2005,"Drama, Romance",7.7,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",323103,83043761.0,Average,,,-0.4215,Negative
3:10 to Yuma,2007,"Action, Crime, Drama",7.7,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,288797,53606916.0,Average,,,-0.2023,Negative
Crash,2004,"Crime, Drama, Thriller",7.7,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",419483,54580300.0,Average,,,-0.3818,Negative
Kung fu,2004,"Action, Comedy, Fantasy",7.7,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",127250,17108591.0,Average,,,-0.2732,Negative
The Bourne Supremacy,2004,"Action, Mystery, Thriller",7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",434841,176241941.0,Hit,,,-0.4588,Negative
The Machinist,2004,"Drama, Thriller",7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,358432,1082715.0,Average,,,-0.3612,Negative
Ray,2004,"Biography, Drama, Music",7.7,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",138356,75331600.0,Average,,,-0.4019,Negative
Lost in Translation,2003,"Comedy, Drama",7.7,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,415074,44585453.0,Average,,,-0.5267,Negative
Harry Potter and the Goblet of Fire,2005,"Adventure, Family, Fantasy",7.7,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",548619,290013036.0,Hit,,,-0.4767,Negative
Man on Fire,2004,"Action, Crime, Drama",7.7,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",329592,77911774.0,Average,,,0.5994,Positive
Coraline,2009,"Animation, Drama, Family",7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",197761,75286229.0,Average,,,-0.743,Negative
The Last Samurai,2003,"Action, Drama",7.7,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,400049,111110575.0,Hit,,,-0.7269,Negative
The Magdalene Sisters,2002,Drama,7.7,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,25938,4890878.0,Average,,,-0.872,Negative
Good Bye Lenin!,2003,"Comedy, Drama, Romance",7.7,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",137981,4064200.0,Average,,,-0.2732,Negative
In America,2002,Drama,7.7,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,40403,15539266.0,Average,,,-0.802,Negative
I Am Sam,2001,Drama,7.7,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,142863,40311852.0,Average,,,0.5994,Positive
Adaptation.,2002,"Comedy, Drama",7.7,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,178565,22245861.0,Average,,,-0.8176,Negative
Black Hawk Down,2001,"Drama, History, War",7.7,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,364254,108638745.0,Hit,,,-0.6369,Negative
Road to Perdition,2002,"Crime, Drama, Thriller",7.7,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",246840,104454762.0,Hit,,,-0.8442,Negative
Das Experiment,2001,"Drama, Thriller",7.7,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.",90842,141072.0,Average,,,-0.2278,Negative
Billy Elliot,2000,"Drama, Music",7.7,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,126770,21995263.0,Average,,,0.7579,Positive
Hedwig and the Angry Inch,2001,"Comedy, Drama, Music",7.7,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,31957,3029081.0,Average,,,0.0,Neutral
Ocean's Eleven,2001,"Crime, Thriller",7.7,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,516372,183417150.0,Hit,,,-0.5574,Negative
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy",7.7,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",29210,151086.0,Average,,,-0.5106,Negative
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",286742,45512588.0,Average,,,0.34,Positive
"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",7.7,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",192112,52037603.0,Average,,,0.1779,Positive
Office Space,1999,Comedy,7.7,Three company workers who hate their jobs decide to rebel against their greedy boss.,241575,10824921.0,Average,,,-0.765,Negative
Happiness,1998,"Comedy, Drama",7.7,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",66408,2807390.0,Average,,,-0.4939,Negative
Training Day,2001,"Crime, Drama, Thriller",7.7,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,390247,76631907.0,Average,,,0.0,Neutral
Rushmore,1998,"Comedy, Drama, Romance",7.7,The extracurricular king of Rushmore Preparatory School is put on academic probation.,169229,17105219.0,Average,,,0.0,Neutral
Abre los ojos,1997,"Drama, Mystery, Sci-Fi",7.7,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.",64082,368234.0,Average,,,-0.8574,Negative
Being John Malkovich,1999,"Comedy, Drama, Fantasy",7.7,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,312542,22858926.0,Average,,,0.0,Neutral
As Good as It Gets,1997,"Comedy, Drama, Romance",7.7,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",275755,148478011.0,Hit,,,-0.128,Negative
The Fifth Element,1997,"Action, Adventure, Sci-Fi",7.7,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",434125,63540020.0,Average,,,-0.765,Negative
Le dîner de cons,1998,Comedy,7.7,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",37424,4065116.0,Average,,,0.0258,Neutral
Donnie Brasco,1997,"Biography, Crime, Drama",7.7,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",279318,41909762.0,Average,,,0.0,Neutral
Shine,1996,"Biography, Drama, Music",7.7,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",51350,35811509.0,Average,,,0.5806,Positive
Primal Fear,1996,"Crime, Drama, Mystery",7.7,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",189716,56116183.0,Average,,,-0.6369,Negative
Hamlet,1996,Drama,7.7,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",35991,4414535.0,Average,,,-0.9313,Negative
A Little Princess,1995,"Drama, Family, Fantasy",7.7,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,32236,10019307.0,Average,,,-0.7579,Negative
Il postino,1994,"Biography, Comedy, Drama",7.7,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",33600,21848932.0,Average,,,0.9022,Positive
Clerks,1994,Comedy,7.7,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",211450,3151130.0,Average,,,-0.128,Negative
Short Cuts,1993,"Comedy, Drama",7.7,The day-to-day lives of several suburban Los Angeles residents.,42275,6110979.0,Average,,,0.0,Neutral
Philadelphia,1993,Drama,7.7,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",224169,77324422.0,Average,,,-0.5574,Negative
The Muppet Christmas Carol,1992,"Comedy, Drama, Family",7.7,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,50298,27281507.0,Average,,,-0.4215,Negative
Malcolm X,1992,"Biography, Drama, History",7.7,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",85819,48169908.0,Average,,,0.2732,Positive
The Last of the Mohicans,1992,"Action, Adventure, Drama",7.7,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,150409,75505856.0,Average,,,-0.3182,Negative
Glengarry Glen Ross,1992,"Crime, Drama, Mystery",7.7,An examination of the machinations behind the scenes at a real estate office.,95826,10725228.0,Average,,,0.0,Neutral
A Few Good Men,1992,"Drama, Thriller",7.7,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,235388,141340178.0,Hit,,,-0.7717,Negative
Fried Green Tomatoes,1991,Drama,7.7,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,66941,82418501.0,Average,,,-0.4215,Negative
Barton Fink,1991,"Comedy, Drama, Thriller",7.7,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,113240,6153939.0,Average,,,-0.4404,Negative
Miller's Crossing,1990,"Crime, Drama, Thriller",7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",125822,5080409.0,Average,,,0.4404,Positive
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",7.7,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,182009,156452370.0,Hit,,,-0.34,Negative
Withnail & I,1987,"Comedy, Drama",7.7,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",40396,1544889.0,Average,,,-0.1027,Negative
The Last Emperor,1987,"Biography, Drama, History",7.7,The story of the final Emperor of China.,94326,43984230.0,Average,,,0.0,Neutral
Empire of the Sun,1987,"Action, Drama, History",7.7,A young English boy struggles to survive under Japanese occupation during World War II.,115677,22238696.0,Average,,,-0.7506,Negative
Der Name der Rose,1986,"Crime, Drama, Mystery",7.7,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,102031,7153487.0,Average,,,0.0258,Neutral
Blue Velvet,1986,"Drama, Mystery, Thriller",7.7,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",181285,8551228.0,Average,,,-0.3182,Negative
The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",7.7,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",47102,10631333.0,Average,,,0.0,Neutral
After Hours,1985,"Comedy, Crime, Drama",7.7,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,59635,10600000.0,Average,,,-0.5106,Negative
Zelig,1983,Comedy,7.7,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",39881,11798616.0,Average,,,0.3612,Positive
The Verdict,1982,Drama,7.7,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,36096,54000000.0,Average,,,0.25,Positive
Star Trek II: The Wrath of Khan,1982,"Action, Adventure, Sci-Fi",7.7,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",112704,78912963.0,Average,,,-0.2732,Negative
First Blood,1982,"Action, Adventure",7.7,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,226541,47212904.0,Average,,,-0.8934,Negative
Ordinary People,1980,Drama,7.7,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",47099,54800000.0,Average,,,-0.8588,Negative
Airplane!,1980,Comedy,7.7,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,214882,83400000.0,Average,,,0.3612,Positive
Halloween,1978,"Horror, Thriller",7.7,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",233106,47000000.0,Average,,,-0.8591,Negative
Le locataire,1976,"Drama, Thriller",7.7,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,39889,1924733.0,Average,,,-0.6249,Negative
Blazing Saddles,1974,"Comedy, Western",7.7,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",125993,119500000.0,Hit,,,-0.7076,Negative
Serpico,1973,"Biography, Crime, Drama",7.7,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,109941,29800000.0,Average,,,0.5106,Positive
Enter the Dragon,1973,"Action, Crime, Drama",7.7,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,96561,25000000.0,Average,,,-0.0516,Negative
Deliverance,1972,"Adventure, Drama, Thriller",7.7,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",98740,7056013.0,Average,,,0.1695,Positive
The French Connection,1971,"Action, Crime, Drama",7.7,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,110075,15630710.0,Average,,,-0.4767,Negative
Dirty Harry,1971,"Action, Crime, Thriller",7.7,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",143292,35900000.0,Average,,,-0.7003,Negative
The Odd Couple,1968,Comedy,7.7,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",31572,44527234.0,Average,,,0.4497,Positive
The Dirty Dozen,1967,"Action, Adventure, War",7.7,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.",67183,45300000.0,Average,,,-0.936,Negative
Belle de jour,1967,"Drama, Romance",7.7,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,40274,26331.0,Average,,,0.0,Neutral
A Man for All Seasons,1966,"Biography, Drama, History",7.7,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",31222,28350000.0,Average,,,-0.5106,Negative
Goldfinger,1964,"Action, Adventure, Thriller",7.7,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",174119,51081062.0,Average,,,-0.4767,Negative
The Birds,1963,"Drama, Horror, Mystery",7.7,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,171739,11403529.0,Average,,,-0.4404,Negative
Peeping Tom,1960,"Drama, Horror, Thriller",7.7,"A young man murders women, using a movie camera to film their dying expressions of terror.",31354,83957.0,Average,,,-0.8126,Negative
The Magnificent Seven,1960,"Action, Adventure, Western",7.7,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,87719,4905000.0,Average,,,-0.4019,Negative
Les yeux sans visage,1960,"Drama, Horror",7.7,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.",27620,52709.0,Average,,,-0.4767,Negative
The Quiet Man,1952,"Comedy, Drama, Romance",7.7,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",34677,10550000.0,Average,,,-0.2263,Negative
The African Queen,1951,"Adventure, Drama, Romance",7.7,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",71481,536118.0,Average,,,-0.8074,Negative
Fantasia,1940,"Animation, Family, Fantasy",7.7,A collection of animated interpretations of great works of Western classical music.,88662,76408097.0,Average,,,0.6249,Positive
Searching,2018,"Drama, Mystery, Thriller",7.6,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.",140840,26020957.0,Average,,,-0.5423,Negative
Once Upon a Time... in Hollywood,2019,"Comedy, Drama",7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,551309,142502728.0,Hit,,,0.765,Positive
Nelyubov,2017,Drama,7.6,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,29765,566356.0,Average,,,-0.7506,Negative
The Florida Project,2017,Drama,7.6,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",95181,5904366.0,Average,,,0.5574,Positive
Gifted,2017,Drama,7.6,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",99643,24801212.0,Average,,,-0.3818,Negative
The Peanut Butter Falcon,2019,"Adventure, Comedy, Drama",7.6,Zak runs away from his care home to make his dream of becoming a wrestler come true.,66346,13122642.0,Average,,,0.7906,Positive
Mustang,2015,Drama,7.6,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",35785,845464.0,Average,,,0.0516,Positive
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",569974,389813101.0,Hit,,,0.2023,Positive
Baby Driver,2017,"Action, Crime, Drama",7.6,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",439406,107825862.0,Hit,,,-0.9287,Negative
Only the Brave,2017,"Action, Biography, Drama",7.6,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",58371,18340051.0,Average,,,0.5106,Positive
Bridge of Spies,2015,"Drama, History, Thriller",7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",287659,72313754.0,Average,,,-0.6486,Negative
Incredibles 2,2018,"Animation, Action, Adventure",7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,250057,608581744.0,Hit,,,0.4939,Positive
Moana,2016,"Animation, Adventure, Comedy",7.6,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",272784,248757044.0,Hit,,,-0.7506,Negative
Sicario,2015,"Action, Crime, Drama",7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,371291,46889293.0,Average,,,-0.2732,Negative
Creed,2015,"Drama, Sport",7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",247666,109767581.0,Hit,,,0.7964,Positive
Leviafan,2014,"Crime, Drama",7.6,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",49397,1092800.0,Average,,,0.0387,Neutral
Hell or High Water,2016,"Action, Crime, Drama",7.6,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,204175,26862450.0,Average,,,0.2263,Positive
Philomena,2013,"Biography, Comedy, Drama",7.6,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",94212,37707719.0,Average,,,-0.4588,Negative
Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",7.6,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,411599,208545589.0,Hit,,,-0.765,Negative
Serbuan maut,2011,"Action, Thriller",7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,190531,4105123.0,Average,,,-0.8271,Negative
End of Watch,2012,"Action, Crime, Drama",7.6,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",228132,41003371.0,Average,,,0.296,Positive
Kari-gurashi no Arietti,2010,"Animation, Adventure, Family",7.6,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",80939,19202743.0,Average,,,0.0,Neutral
A Star Is Born,2018,"Drama, Music, Romance",7.6,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,334312,215288866.0,Hit,,,0.6705,Positive
True Grit,2010,"Drama, Western",7.6,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,311822,171243005.0,Hit,,,-0.7269,Negative
Hævnen,2010,"Drama, Romance",7.6,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",38491,1008098.0,Average,,,-0.7684,Negative
Despicable Me,2010,"Animation, Comedy, Crime",7.6,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",500851,251513985.0,Hit,,,0.7717,Positive
50/50,2011,"Comedy, Drama, Romance",7.6,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",315426,35014192.0,Average,,,0.2023,Positive
Kick-Ass,2010,"Action, Comedy, Crime",7.6,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",524081,48071303.0,Average,,,0.34,Positive
